Academic Year,RCDT,District Name,District City,% of Kindergartners Rated on Required 14 Measures,"In
0
Developmental Areas","In
1
Developmental Area","In
2
Developmental Areas","In
All 3
Developmental Areas",Social and Emotional Development,Language and Literacy Development
,State Overall Data,Statewide,,0.897008,0.38806,0.175488,0.173965,0.262487,0.528451,0.455924
2018,01009262026,A-C Central CUSD 262,Ashland,0.516129,0.1875,0.125,0.25,0.4375,0.5,0.8125
2018,33048276026,Abingdon-Avon CUSD 276,Abingdon,1,0.416667,0.15,0.15,0.283333,0.466667,0.4
2018,19022004002,Addison SD 4,Addison,0.77095,0.655797,0.210145,0.101449,0.0326087,0.289855,0.15942
2018,13014063002,Albers SD 63,Albers,1,0.0526316,0.105263,0.368421,0.473684,0.842105,0.947368
2018,44063019024,Alden Hebron SD 19,Hebron,1,0.4,0.12,0.28,0.2,0.52,0.56
2018,20093017024,Allendale CCSD 17,Allendale,1,0.866667,0.0666667,0,0.0666667,0.133333,0.0666667
2018,07016126002,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,1,0.415493,0.253521,0.161972,0.169014,0.570423,0.316901
2018,03025010026,Altamont CUSD 10,Altamont,0.93617,0.431818,0.295455,0.0681818,0.204545,0.477273,0.363636
2018,41057011026,Alton CUSD 11,Alton,0.978673,0.404358,0.130751,0.208232,0.256659,0.539952,0.472155
2018,28037225026,AlWood CUSD 225,Woodhull,0.970588,0.424242,0.242424,0.181818,0.151515,0.454545,0.424242
2018,47052272026,Amboy CUSD 272,Amboy,0.979592,0.270833,0.125,0.229167,0.375,0.729167,0.541667
2018,30091037004,Anna CCSD 37,Anna,1,0.3125,0.125,0.140625,0.421875,0.609375,0.53125
2018,28037226026,Annawan CUSD 226,Annawan,0.863636,0.157895,0.105263,0.0526316,0.684211,0.736842,0.736842
2018,34049034004,Antioch CCSD 34,Antioch,0.980392,0.56,0.164,0.128,0.148,0.296,0.284
2018,34049102004,Aptakisic-Tripp CCSD 102,Buffalo Grove,0.966245,0.20524,0.117904,0.170306,0.50655,0.641921,0.681223
2018,07016145002,Arbor Park SD 145,Oak Forest,0.981651,0.551402,0.11215,0.17757,0.158879,0.411215,0.345794
2018,11021306026,Arcola CUSD 306,Arcola,0.971429,0.470588,0.264706,0.0882353,0.176471,0.5,0.294118
2018,39055001026,Argenta-Oreana CUSD 1,Argenta,0.515625,0.0909091,0.030303,0.212121,0.666667,0.848485,0.909091
2018,05016025002,Arlington Heights SD 25,Arlington Heights,0.957746,0.195378,0.157563,0.205882,0.441176,0.642857,0.598739
2018,11021305026,Arthur CUSD 305,Arthur,0.72619,0.442623,0.114754,0.229508,0.213115,0.540984,0.459016
2018,13095015004,Ashley CCSD 15,Ashley,0.941176,0.25,0.25,0.4375,0.0625,0.6875,0.5625
2018,47052275026,Ashton-Franklin Center CUSD 275,Ashton,0.973684,0.216216,0.0810811,0.135135,0.567568,0.702703,0.702703
2018,26029001026,Astoria CUSD 1,Astoria,1,0.4,0.2,0,0.4,0.6,0.4
2018,51065213026,Athens CUSD 213,Athens,0.987179,0.12987,0.12987,0.207792,0.532468,0.831169,0.766234
2018,07016125002,Atwood Heights SD 125,Alsip,0.94,0.276596,0.212766,0.191489,0.319149,0.617021,0.446809
2018,51084010026,Auburn CUSD 10,Auburn,0.987342,0.192308,0.217949,0.307692,0.282051,0.717949,0.602564
2018,31045131022,Aurora East USD 131,Aurora,0.787472,0.609375,0.147727,0.119318,0.12358,0.352273,0.241477
2018,31045129022,Aurora West USD 129,Aurora,0.946223,0.381597,0.231394,0.181326,0.205683,0.545332,0.387009
2018,13014021002,Aviston SD 21,Aviston,1,0.0740741,0.222222,0.222222,0.481481,0.666667,0.740741
2018,05016037002,Avoca SD 37,Wilmette,0.887097,0.436364,0.2,0.236364,0.127273,0.363636,0.345455
2018,51084005026,Ball Chatham CUSD 5,Chatham,0.880814,0.267327,0.240924,0.174917,0.316832,0.630363,0.465347
2018,34049106002,Bannockburn SD 106,Bannockburn,1,0.3125,0.1875,0.25,0.25,0.375,0.4375
2018,34049220026,Barrington CUSD 220,Barrington,0.993976,0.288889,0.107071,0.153535,0.450505,0.680808,0.626263
2018,13014057002,Bartelso SD 57,Bartelso,1,0.578947,0.0526316,0.157895,0.210526,0.315789,0.315789
2018,48072066002,Bartonville SD 66,Bartonville,0.954545,0.142857,0.142857,0.0952381,0.619048,0.857143,0.714286
2018,31045101022,Batavia USD 101,Batavia,0.97971,0.248521,0.186391,0.201183,0.363905,0.579882,0.656805
2018,34049003004,Beach Park CCSD 3,Beach Park,0.965854,0.40404,0.191919,0.161616,0.242424,0.520202,0.409091
2018,01009015026,Beardstown CUSD 15,Beardstown,0.966292,0.302326,0.232558,0.337209,0.127907,0.686047,0.476744
2018,03025020026,Beecher City CUSD 20,Beecher City,0.965517,0.642857,0.107143,0.107143,0.142857,0.214286,0.285714
2018,56099200U26,Beecher CUSD 200U,Beecher,0.652778,0.0638298,0.148936,0.787234,0,0.914894,0.808511
2018,50082119002,Belle Valley SD 119,Belleville,0.864865,0.489583,0.260417,0.145833,0.104167,0.46875,0.239583
2018,50082118002,Belleville SD 118,Belleville,0.886427,0.340625,0.1125,0.2125,0.334375,0.58125,0.51875
2018,06016088002,Bellwood SD 88,Bellwood,0.969298,0.484163,0.167421,0.140271,0.208145,0.497738,0.357466
2018,04004100026,Belvidere CUSD 100,Belvidere,0.962578,0.572354,0.207343,0.11879,0.101512,0.313175,0.282937
2018,39074005026,Bement CUSD 5,Bement,1,0,0.0666667,0.0666667,0.866667,1,0.866667
2018,19022025002,Benjamin SD 25,West Chicago,1,0.1,0.32,0.26,0.32,0.84,0.6
2018,19022002002,Bensenville SD 2,Bensenville,0.959276,0.5,0.231132,0.231132,0.0377358,0.396226,0.353774
2018,21028047004,Benton CCSD 47,Benton,0.902655,0.382353,0.215686,0.166667,0.235294,0.578431,0.411765
2018,06016087002,Berkeley SD 87,Berkeley,0.818605,0.375,0.267045,0.215909,0.142045,0.573864,0.392045
2018,06016098002,Berwyn North SD 98,Berwyn,0.431655,0.641667,0.108333,0.133333,0.116667,0.35,0.241667
2018,06016100002,Berwyn South SD 100,Berwyn,0.940625,0.408638,0.299003,0.17608,0.116279,0.548173,0.302326
2018,41057008026,Bethalto CUSD 8,Bethalto,0.988571,0.560694,0.17341,0.0809249,0.184971,0.387283,0.271676
2018,13041082002,Bethel SD 82,Mount Vernon,1,0.214286,0.142857,0.214286,0.428571,0.785714,0.642857
2018,34049038002,Big Hollow SD 38,Ingleside,0.977401,0.398844,0.196532,0.127168,0.277457,0.583815,0.387283
2018,54092001026,Bismarck Henning CUSD,Bismarck,0.983333,0.355932,0.118644,0.118644,0.40678,0.576271,0.542373
2018,19022013002,Bloomingdale SD 13,Bloomingdale,0.952,0.310924,0.134454,0.176471,0.378151,0.504202,0.563025
2018,17064087025,Bloomington SD 87,Bloomington,0.977612,0.3257,0.221374,0.178117,0.274809,0.610687,0.465649
2018,17020018026,Blue Ridge CUSD 18,Farmer City,0.962264,0.196078,0.27451,0.392157,0.137255,0.686275,0.647059
2018,13041318027,Bluford Unit School District 318,Bluford,1,0.5,0.25,0.107143,0.142857,0.464286,0.285714
2018,03003002026,Bond County CUSD 2,Greenville,0.955224,0.320313,0.148438,0.132813,0.398438,0.546875,0.570313
2018,32046053002,Bourbonnais SD 53,Bourbonnais,0.968889,0.302752,0.174312,0.229358,0.293578,0.568807,0.495413
2018,24032075002,Braceville SD 75,Braceville,0.916667,0.272727,0.0909091,0.363636,0.272727,0.454545,0.727273
2018,28088001026,Bradford CUSD 1,Bradford,0.866667,0.384615,0.230769,0.384615,0,0.615385,0.384615
2018,32046061002,Bradley SD 61,Bradley,0.96063,0.467213,0.163934,0.245902,0.122951,0.516393,0.360656
2018,13014012004,Breese ESD 12,Breese,0.929577,0.19697,0.318182,0.151515,0.333333,0.454545,0.363636
2018,48072309026,Brimfield CUSD 309,Brimfield,1,0.0789474,0,0.131579,0.789474,0.894737,0.921053
2018,15016903025,Bronzeville Academy Chtr School,Chicago,0.761905,0.5,0.0625,0.1875,0.25,0.5,0.375
2018,06016095002,Brookfield Lagrange Park SD 95,Brookfield,0.991071,0.243243,0.144144,0.0810811,0.531532,0.621622,0.657658
2018,50082188022,Brooklyn UD 188,Lovejoy,0.947368,0.222222,0.166667,0.222222,0.388889,0.722222,0.666667
2018,07016167002,Brookwood SD 167,Glenwood,0.95,0.431579,0.336842,0.147368,0.0842105,0.431579,0.357895
2018,01005001026,Brown County CUSD 1,Mount Sterling,1,0.162162,0.189189,0.0810811,0.567568,0.756757,0.675676
2018,03026201026,Brownstown CUSD 201,Brownstown,0.939394,0.258065,0.225806,0.290323,0.225806,0.548387,0.645161
2018,40007042026,Brussels CUSD 42,Brussels,1,0.0833333,0,0.333333,0.583333,0.916667,0.916667
2018,40056008026,Bunker Hill CUSD 8,Bunker Hill,1,0.27907,0.162791,0.0697674,0.488372,0.627907,0.604651
2018,07016111002,Burbank SD 111,Burbank,0.937294,0.496479,0.176056,0.179577,0.147887,0.454225,0.369718
2018,28006340026,Bureau Valley CUSD 340,Manlius,1,0.45,0.183333,0.183333,0.183333,0.266667,0.516667
2018,07016154502,Burnham SD 154-5,Burnham,0.944444,0.470588,0.235294,0.294118,0,0.529412,0.294118
2018,26062170026,Bushnell Prairie City CUSD 170,Bushnell,0.977273,0.0930233,0.139535,0.325581,0.44186,0.790698,0.790698
2018,19022053002,Butler SD 53,Oak Brook,1,0.257143,0.171429,0.0857143,0.485714,0.571429,0.742857
2018,47071226026,Byron CUSD 226,Byron,0.956044,0.54023,0.103448,0.275862,0.0804598,0.252874,0.425287
2018,50082187026,Cahokia CUSD 187,Cahokia,0.995708,0.409483,0.202586,0.181034,0.206897,0.547414,0.413793
2018,30002001022,Cairo USD 1,Cairo,0.9,1,0,0,0,0,0
