Academic Year,RCDT,District Name,District City,% of Kindergartners Rated on Required 14 Measures,"In
0
Developmental Areas","In
1
Developmental Area","In
2
Developmental Areas","In
All 3
Developmental Areas",Social and Emotional Development,Language and Literacy Development
2019,32038009026,Iroquois County CUSD 9,Watseka,1,0.246154,0.153846,0.169231,0.430769,0.692308,0.569231
2019,32038010026,Iroquois West CUSD 10,Gilman,0.947368,0.222222,0.296296,0.12963,0.351852,0.759259,0.425926
2019,19022010002,Itasca SD 10,Itasca,1,0.185567,0.298969,0.185567,0.329897,0.618557,0.525773
2019,01069117022,Jacksonville SD 117,Jacksonville,0.961864,0.30837,0.215859,0.162996,0.312775,0.511013,0.563877
2019,20096017004,Jasper CCSD 17,Fairfield,1,0.45,0.1,0.1,0.35,0.55,0.35
2019,12040001026,Jasper County CUD 1,Newton,1,0.353659,0.109756,0.243902,0.292683,0.597561,0.512195
2019,40042100026,Jersey CUSD 100,Jerseyville,0.957447,0.366667,0.111111,0.2,0.322222,0.527778,0.522222
2019,44063012026,Johnsburg CUSD 12,Johnsburg,0.836066,0.598039,0.147059,0.0980392,0.156863,0.362745,0.27451
2019,21100001026,Johnston City CUSD 1,Johnston City,0.984375,0.809524,0.111111,0.0793651,0,0.15873,0.111111
2019,56099086005,Joliet PSD 86,Joliet,0.913655,0.60989,0.183516,0.120879,0.0857143,0.362637,0.216484
2019,21061038026,Joppa-Maple Grove UD 38,Joppa,1,0.4,0.133333,0.133333,0.333333,0.6,0.4
2019,31045302026,Kaneland CUSD 302,Maple Park,0.966777,0.659794,0.137457,0.123711,0.0790378,0.254296,0.237113
2019,32046111025,Kankakee SD 111,Kankakee,0.895062,0.634483,0.165517,0.106897,0.0931034,0.293103,0.182759
2019,11023003026,Kansas CUSD 3,Kansas,0.769231,0.3,0.2,0,0.5,0.7,0.5
2019,19022020002,Keeneyville SD 20,Hanover Park,0.941667,0.672566,0.150442,0.0884956,0.0884956,0.292035,0.185841
2019,05016038002,Kenilworth SD 38,Kenilworth,1,0.270833,0.145833,0.1875,0.395833,0.625,0.604167
2019,28037229026,Kewanee CUSD 229,Kewanee,0.982301,0.396396,0.162162,0.162162,0.279279,0.504505,0.513514
2019,34049096004,Kildeer Countryside CCSD 96,Buffalo Grove,0.981949,0.349265,0.198529,0.180147,0.272059,0.463235,0.481618
2019,04101131004,Kinnikinnick CCSD 131,Roscoe,0.982456,0.684524,0.178571,0.136905,0,0.279762,0.154762
2019,07016140002,Kirby SD 140,Tinley Park,0.956164,0.326648,0.160458,0.212034,0.30086,0.567335,0.512894
2019,33048202026,Knoxville CUSD 202,Knoxville,0.987013,0.315789,0.0789474,0.0526316,0.552632,0.644737,0.644737
2019,06016102002,La Grange SD 102,La Grange Park,0.977848,0.177994,0.148867,0.161812,0.511327,0.79288,0.66343
2019,06016105002,La Grange SD 105 South,La Grange,0.983471,0.294118,0.159664,0.134454,0.411765,0.630252,0.563025
2019,26034347004,La Harpe CSD 347,La Harpe,0.96,0.208333,0.166667,0.375,0.25,0.708333,0.708333
2019,28006303026,La Moille CUSD 303,La Moille,1,0.235294,0.117647,0.235294,0.411765,0.764706,0.647059
2019,35050122002,La Salle ESD 122,La Salle,0.943925,0.425743,0.188119,0.217822,0.168317,0.574257,0.356436
2019,28006094004,Ladd CCSD 94,Ladd,0.888889,0.8125,0.1875,0,0,0.125,0
2019,06016106002,LaGrange Highlands SD 106,La Grange Highlands,0.733333,0.469697,0.0454545,0.19697,0.287879,0.530303,0.454545
2019,34049067005,Lake Forest SD 67,Lake Forest,0.986301,0.520833,0.138889,0.159722,0.180556,0.354167,0.368056
2019,34049041004,Lake Villa CCSD 41,Lake Villa,0.952174,0.452055,0.173516,0.164384,0.210046,0.488584,0.401826
2019,34049095026,Lake Zurich CUSD 95,Lake Zurich,0.966942,0.378917,0.25641,0.233618,0.131054,0.487179,0.415954
2019,07016158002,Lansing SD 158,Lansing,0.996503,0.298246,0.185965,0.178947,0.336842,0.617544,0.561404
2019,56099070C04,Laraway CCSD 70C,Joliet,0.957447,0.644444,0.266667,0.0666667,0.0222222,0.288889,0.155556
2019,12051020026,Lawrence County CUD 20,Lawrenceville,0.972973,0.296296,0.212963,0.268519,0.222222,0.314815,0.555556
2019,34049901025,LEARN Charter 9 Campus in Waukegan,Waukegan,0.90625,0.896552,0.103448,0,0,0.103448,0
2019,50082009026,Lebanon CUSD 9,Lebanon,0.981481,0.301887,0.283019,0.245283,0.169811,0.603774,0.509434
2019,35050001026,Leland CUSD 1,Leland,0.961538,0.36,0.52,0.12,0,0.52,0
2019,07016113A02,Lemont-Bromberek CSD 113A,Lemont,0.914286,0.0260417,0.03125,0.09375,0.848958,0.963542,0.875
2019,08089202026,Lena Winslow CUSD 202,Lena,1,0.4375,0.0625,0.0833333,0.416667,0.5,0.520833
2019,17064002026,LeRoy CUSD 2,Le Roy,0.981481,0.0754717,0.0566038,0.150943,0.716981,0.773585,0.830189
2019,26029097026,Lewistown CUSD 97,Lewistown,1,0.604651,0.186047,0.209302,0,0.325581,0.27907
2019,17064007026,Lexington CUSD 7,Lexington,1,0.107143,0.0714286,0.214286,0.607143,0.821429,0.857143
2019,01001002026,Liberty CUSD 2,Liberty,0.916667,0.418182,0.127273,0.218182,0.236364,0.418182,0.490909
2019,34049070002,Libertyville SD 70,Libertyville,1,0.44206,0.206009,0.167382,0.184549,0.399142,0.386266
2019,30091016004,Lick Creek CCSD 16,Buncombe,1,0.230769,0.307692,0,0.461538,0.461538,0.615385
2019,48072316004,Limestone Walters CCSD 316,Peoria,0.916667,0.0909091,0.0909091,0,0.818182,0.863636,0.818182
2019,07016156002,Lincoln ESD 156,Calumet City,0.977778,0.454545,0.215909,0.204545,0.125,0.477273,0.340909
2019,17054027002,Lincoln ESD 27,Lincoln,1,0.408696,0.173913,0.208696,0.208696,0.417391,0.513043
2019,34049103002,Lincolnshire-Prairieview SD 103,Lincolnshire,0.993103,0.270833,0.201389,0.298611,0.229167,0.611111,0.569444
2019,05016074002,Lincolnwood SD 74,Lincolnwood,0.981132,0.201923,0.144231,0.134615,0.519231,0.759615,0.615385
2019,06016092002,Lindop SD 92,Broadview,1.03,0.121212,0.333333,0.212121,0.333333,0.818182,0.484848
2019,24047090004,Lisbon CCSD 90,Newark,1,0.105263,0.0526316,0.421053,0.421053,0.789474,0.789474
2019,19022202026,Lisle CUSD 202,Lisle,0.99115,0.241071,0.178571,0.276786,0.303571,0.669643,0.580357
2019,03068012026,Litchfield CUSD 12,Litchfield,1,0.157895,0.147368,0.168421,0.526316,0.768421,0.715789
2019,56099091002,Lockport SD 91,Lockport,1,0.294118,0.27451,0.235294,0.196078,0.705882,0.431373
2019,19022044002,Lombard SD 44,Lombard,0.982196,0.456193,0.214502,0.154079,0.175227,0.465257,0.353474
2019,53102021026,Lowpoint-Washburn CUSD 21,Washburn,0.481481,0.153846,0.0769231,0.153846,0.615385,0.769231,0.692308
2019,06016103002,Lyons SD 103,Lyons,0.944915,0.313901,0.165919,0.165919,0.35426,0.623318,0.560538
2019,26062185026,Macomb CUSD 185,Macomb,0.966216,0.153846,0.181818,0.125874,0.538462,0.804196,0.678322
2019,41057012026,Madison CUSD 12,Madison,0.907407,0.795918,0.142857,0.0408163,0.0204082,0.204082,0.0612245
2019,19022060002,Maercker SD 60,Westmont,0.993671,0.248408,0.159236,0.22293,0.369427,0.694268,0.617834
2019,09010003026,Mahomet-Seymour CUSD 3,Mahomet,0.988189,0.278884,0.179283,0.151394,0.390438,0.653386,0.569721
2019,56099114002,Manhattan SD 114,Manhattan,0.977273,0.0755814,0.127907,0.284884,0.511628,0.819767,0.767442
2019,06016083002,Mannheim SD 83,Franklin Park,0.875,0.463203,0.25974,0.147186,0.12987,0.497835,0.285714
2019,32046005026,Manteno CUSD 5,Manteno,0.96748,0.462185,0.117647,0.184874,0.235294,0.436975,0.436975
2019,44063165003,Marengo-Union E Cons D 165,Marengo,0.95,0.305263,0.147368,0.284211,0.263158,0.663158,0.557895
2019,21100002026,Marion CUSD 2,Marion,0.996644,0.276094,0.111111,0.191919,0.420875,0.693603,0.609428
2019,50082040026,Marissa CUSD 40,Marissa,0.967742,0.333333,0.0666667,0.266667,0.333333,0.633333,0.533333
2019,39055002026,Maroa Forsyth CUSD 2,Forsyth,0.987342,0.0897436,0.0769231,0.0641026,0.769231,0.897436,0.782051
2019,19022015002,Marquardt SD 15,Glendale Heights,0.965812,0.641593,0.216814,0.106195,0.0353982,0.318584,0.172566
2019,35050150002,Marseilles ESD 150,Marseilles,0.979167,0.297872,0.319149,0.148936,0.234043,0.659574,0.382979
2019,11012002C26,Marshall CUSD 2C,Marshall,1,0.833333,0.166667,0,0,0.03125,0.135417
2019,11012003C26,Martinsville CUSD 3C,Martinsville,0.464286,0.307692,0.0769231,0.230769,0.384615,0.615385,0.692308
2019,50082019026,Mascoutah CUD 19,Mascoutah,0.990196,0.458746,0.148515,0.141914,0.250825,0.455446,0.432343
2019,21061001026,Massac UD 1,Metropolis,0.978873,0.251799,0.100719,0.194245,0.453237,0.705036,0.661871
2019,07016162002,Matteson ESD 162,Richton Park,0.95122,0.393162,0.128205,0.235043,0.24359,0.559829,0.508547
2019,11015002026,Mattoon CUSD 2,Mattoon,0.948357,0.425743,0.173267,0.163366,0.237624,0.480198,0.39604
2019,06016089002,Maywood-Melrose Park-Broadview 89,Melrose Park,0.963592,0.63728,0.153652,0.0831234,0.125945,0.322418,0.221662
2019,24032002C02,Mazon-Verona-Kinsman ESD 2C,Mazon,1,0.4375,0.28125,0.0625,0.21875,0.28125,0.28125
2019,13041012004,McClellan CCSD 12,Mount Vernon,0.916667,0.272727,0.181818,0,0.545455,0.727273,0.545455
2019,44063015004,McHenry CCSD 15,McHenry,0.97907,0.377672,0.261283,0.149644,0.211401,0.570071,0.342043
2019,17064005026,McLean County USD 5,Normal,0.946392,0.250545,0.114379,0.171024,0.464052,0.659041,0.637255
2019,19022011002,Medinah SD 11,Roselle,0.972603,0.450704,0.169014,0.183099,0.197183,0.394366,0.323944
2019,35050289004,Mendota CCSD 289,Mendota,1,0.643478,0.173913,0.121739,0.0608696,0.347826,0.191304
2019,33066404026,Mercer County School District 404,Aledo,0.988636,0.344828,0.091954,0.137931,0.425287,0.597701,0.551724
2019,01069011026,Meredosia-Chambersburg CUSD 11,Meredosia,1,0.642857,0.142857,0,0.214286,0.357143,0.214286
2019,30077101026,Meridian CUSD 101,Mounds,0.888889,0.5,0.291667,0.208333,0,0.5,0.208333
2019,39055015026,Meridian CUSD 15,Macon,1,0.308642,0.148148,0.0864198,0.45679,0.592593,0.530864
2019,47071223026,Meridian CUSD 223,Stillman Valley,0.990991,0.536364,0.245455,0.154545,0.0636364,0.381818,0.263636
2019,53102001004,Metamora CCSD 1,Metamora,0.961165,0.20202,0.191919,0.272727,0.333333,0.717172,0.656566
2019,35059007026,Midland CUSD 7,Sparland,1,0.175,0.05,0.125,0.65,0.775,0.7
2019,07016143002,Midlothian SD 143,Midlothian,0.554795,0.37037,0.135802,0.135802,0.358025,0.555556,0.493827
2019,53060191026,Midwest Central CUSD 191,Manito,1,0.533333,0.183333,0.133333,0.15,0.366667,0.333333
2019,32038124026,Milford Area Public Schools District 124,Milford,0.966667,0.655172,0.137931,0.0344828,0.172414,0.344828,0.206897
2019,34049024004,Millburn CCSD 24,Old Mill Creek,0.948718,0.171171,0.144144,0.234234,0.45045,0.675676,0.72973
2019,35050210004,Miller Twp CCSD 210,Marseilles,1,0.4,0.133333,0.2,0.266667,0.6,0.466667
2019,50082160004,Millstadt CCSD 160,Millstadt,1,0.208333,0.125,0.319444,0.347222,0.652778,0.763889
2019,24032201004,Minooka CCSD 201,Minooka,0.765258,0.420245,0.236196,0.184049,0.159509,0.484663,0.423313
2019,49081040022,Moline-Coal Valley CUSD 40,Moline,0.498054,0.539063,0.207031,0.167969,0.0859375,0.382813,0.300781
2019,32046001026,Momence CUSD 1,Momence,0.96,0.638889,0.152778,0.0833333,0.125,0.277778,0.25
2019,33094238026,Monmouth-Roseville CUSD 238,Monmouth,1,0.376147,0.12844,0.137615,0.357798,0.605505,0.513761
2019,48072070002,Monroe SD 70,Bartonville,1,0.214286,0.178571,0.107143,0.5,0.607143,0.714286
2019,39074025026,Monticello CUSD 25,Monticello,0.972477,0.113208,0.169811,0.122642,0.59434,0.858491,0.698113
2019,47098145004,Montmorency CCSD 145,Rock Falls,1,0.354839,0.193548,0.0322581,0.419355,0.451613,0.548387
2019,24032054002,Morris SD 54,Morris,0.976563,0.32,0.168,0.256,0.256,0.568,0.608
2019,47098006026,Morrison CUSD 6,Morrison,1,0.362319,0.15942,0.217391,0.26087,0.550725,0.507246
2019,03011001026,Morrisonville CUSD 1,Morrisonville,1,0.1875,0.125,0.25,0.4375,0.75,0.6875
2019,53090709026,Morton CUSD 709,Morton,0.995745,0.457265,0.128205,0.183761,0.230769,0.474359,0.397436
2019,40056005026,Mount Olive CUSD 5,Mount Olive,0.956522,0.181818,0.181818,0.181818,0.454545,0.727273,0.681818
2019,05016057002,Mount Prospect SD 57,Mt Prospect,1,0.152284,0.279188,0.309645,0.258883,0.827411,0.553299
2019,13041080002,Mount Vernon SD 80,Mount Vernon,0.940397,0.415493,0.147887,0.267606,0.169014,0.464789,0.457746
2019,17054023026,Mt Pulaski CUSD 23,Mount Pulaski,0.928571,0.307692,0.115385,0.115385,0.461538,0.692308,0.576923
2019,39055003026,Mt Zion CUSD 3,Mt Zion,0.981366,0.531646,0.120253,0.120253,0.227848,0.424051,0.35443
2019,03003001026,Mulberry Grove CUSD 1,Mulberry Grove,0.961538,0.52,0.08,0.24,0.16,0.44,0.4
2019,34049075002,Mundelein ESD 75,Mundelein,0.94686,0.265306,0.204082,0.178571,0.352041,0.505102,0.469388
2019,30039186026,Murphysboro CUSD 186,Murphysboro,0.987013,0.539474,0.125,0.118421,0.217105,0.434211,0.322368
2019,53090102002,N Pekin & Marquette Hght SD 102,Marquette Heights,1,0.0961538,0.192308,0.461538,0.25,0.769231,0.807692
2019,19022203026,Naperville CUSD 203,Naperville,0.995637,0.2156,0.148116,0.206836,0.429448,0.687993,0.61525
2019,13095049004,Nashville CCSD 49,Nashville,0.677419,0.428571,0.0952381,0.0952381,0.380952,0.547619,0.47619
2019,26034325026,Nauvoo-Colusa CUSD 325,Nauvoo,1,0.318182,0.0454545,0.181818,0.454545,0.590909,0.636364
2019,11018003026,Neoga CUSD 3,Neoga,1,0.148148,0.259259,0.148148,0.444444,0.62963,0.814815
2019,50082060026,New Athens CUSD 60,New Athens,1,0.521739,0.0869565,0.0434783,0.347826,0.434783,0.434783
2019,51084016026,New Berlin CUSD 16,New Berlin,0.985714,0.405797,0.202899,0.217391,0.173913,0.57971,0.333333
2019,17054088002,New Holland-Middletown ED 88,Middletown,0.909091,0.3,0.1,0.2,0.4,0.7,0.6
2019,20096006004,New Hope CCSD 6,Fairfield,1,0.115385,0.153846,0.115385,0.615385,0.884615,0.730769
2019,56099122002,New Lenox SD 122,New Lenox,0.971134,0.828025,0.0849257,0.0636943,0.0233546,0.0976645,0.142251
2019,21044032003,New Simpson Hill SD 32,Tunnel Hill,1,0.142857,0.190476,0.047619,0.619048,0.809524,0.714286
2019,24047066004,Newark CCSD 66,Newark,1,0,0,0.272727,0.727273,1,0.909091
2019,05016071002,Niles ESD 71,Niles,1,0.5,0.111111,0.111111,0.277778,0.472222,0.388889
2019,44063002003,Nippersink SD 2,Richmond,0.975207,0.398305,0.20339,0.228814,0.169492,0.584746,0.398305
2019,03068022026,Nokomis CUSD 22,Nokomis,1,0.564103,0.230769,0.128205,0.0769231,0.358974,0.230769
2019,06016080002,Norridge SD 80,Norridge,0.978947,0.44086,0.236559,0.182796,0.139785,0.419355,0.408602
2019,20097003026,Norris City-Omaha-Enfield CUSD 3,Norris City,0.897436,0.285714,0.142857,0.285714,0.285714,0.457143,0.571429
2019,04004200026,North Boone CUSD 200,Poplar Grove,0.767857,0.360465,0.197674,0.232558,0.209302,0.604651,0.453488
2019,34049187026,North Chicago SD 187,North Chicago,0.824627,0.402715,0.208145,0.158371,0.230769,0.533937,0.38914
2019,12013025026,North Clay CUSD 25,Louisville,0.970588,0.454545,0.030303,0.0909091,0.424242,0.515152,0.515152
2019,40031003026,North Greene CUSD 3,White Hall,0.95082,0.517241,0.189655,0.206897,0.0862069,0.431034,0.327586
2019,40056034026,North Mac CUSD 34,Girard,1,0.206349,0.111111,0.206349,0.47619,0.761905,0.666667
2019,07016117002,North Palos SD 117,Palos Hills,0.878205,0.20073,0.229927,0.288321,0.281022,0.751825,0.507299
2019,34049112002,North Shore SD 112,Highland Park,0.966942,0.270655,0.216524,0.225071,0.287749,0.638177,0.507123
2019,13014186002,North Wamac SD 186,Centralia,0.909091,0,0,0.2,0.8,0.9,0.9
2019,20096200026,North Wayne CUSD 200,Cisne,1,0.0606061,0.030303,0.212121,0.69697,0.878788,0.939394
2019,05016027002,Northbrook ESD 27,Northbrook,1,0.163934,0.131148,0.221311,0.483607,0.688525,0.729508
2019,05016028002,Northbrook SD 28,Northbrook,0.900552,0.300613,0.0858896,0.104294,0.509202,0.650307,0.625767
2019,05016030002,Northbrook/Glenview SD 30,Northbrook,0.991453,0.137931,0.0862069,0.172414,0.603448,0.758621,0.775862
2019,40056002026,Northwestern CUSD 2,Palmyra,0.961538,0.12,0.2,0.28,0.4,0.84,0.6
2019,48072063002,Norwood ESD 63,Peoria,0.981481,0.226415,0.0754717,0.150943,0.54717,0.679245,0.716981
2019,50082090004,O Fallon CCSD 90,O Fallon,0.97878,0.257453,0.170732,0.216802,0.355014,0.563686,0.647696
2019,48072068002,Oak Grove SD 68  Bartonville,Bartonville,0.973684,0.0810811,0.108108,0.162162,0.648649,0.837838,0.783784
2019,34049068002,Oak Grove SD 68 Green Oaks,Libertyville,0.988372,0.152941,0.223529,0.211765,0.411765,0.752941,0.647059
2019,07016123002,Oak Lawn-Hometown SD 123,Oak Lawn,0.960245,0.38535,0.16242,0.210191,0.242038,0.522293,0.474522
2019,06016097002,Oak Park ESD 97,Oak Park,0.982877,0.151568,0.123693,0.12892,0.595819,0.780488,0.721254
2019,11015005026,Oakland CUSD 5,Oakland,1,0.217391,0.0434783,0.173913,0.565217,0.782609,0.695652
2019,54092076026,Oakwood CUSD 76,Oakwood,1,0.423729,0.20339,0.20339,0.169492,0.559322,0.389831
2019,12017004026,Oblong CUSD 4,Oblong,0.848485,0.357143,0.107143,0.107143,0.428571,0.642857,0.464286
2019,17053435004,Odell CCSD 435,Odell,0.681818,0.333333,0.0666667,0.4,0.2,0.6,0.666667
2019,13058722026,Odin PSD 722,Odin,0.923077,0.416667,0.5,0.0833333,0,0.583333,0.0833333
2019,35050125002,Oglesby ESD 125,Oglesby,0.957447,0.666667,0.111111,0.177778,0.0444444,0.333333,0.222222
2019,11070302026,Okaw Valley CUSD 302,Bethany,0.514286,0.722222,0.0555556,0.222222,0,0.222222,0.222222
2019,17064016026,Olympia CUSD 16,Stanford,0.960317,0.355372,0.157025,0.239669,0.247934,0.512397,0.603306
2019,13041005004,Opdyke-Belle-Rive CCSD 5,Opdyke,1,0.2,0.1,0.1,0.6,0.8,0.6
2019,08089203026,Orangeville CUSD 203,Orangeville,1,0.25,0.25,0.15,0.35,0.7,0.5
2019,47071220026,Oregon CUSD 220,Oregon,0.971698,0.563107,0.242718,0.106796,0.0873786,0.271845,0.291262
2019,28037223026,Orion CUSD 223,Orion,0.982456,0.107143,0.0714286,0.25,0.571429,0.714286,0.857143
2019,07016135002,Orland SD 135,Orland Park,0.979381,0.492632,0.147368,0.149474,0.210526,0.431579,0.368421
2019,35050141002,Ottawa ESD 141,Ottawa,0.967213,0.491525,0.175141,0.0847458,0.248588,0.468927,0.316384
2019,05016015004,Palatine CCSD 15,Palatine,0.95,0.428728,0.190789,0.179825,0.200658,0.513158,0.350877
2019,12017003026,Palestine CUSD 3,Palestine,0.947368,0.611111,0.111111,0.277778,0,0.277778,0.388889
2019,07016118004,Palos CCSD 118,Palos Park,0.978022,0.162921,0.174157,0.134831,0.52809,0.814607,0.617978
2019,07016128002,Palos Heights SD 128,Palos Heights,0.985294,0.0597015,0.179104,0.19403,0.567164,0.791045,0.716418
